start,end,lrr
112478143,112488142,-1.76969
112488143,112498142,-0.164273
112498143,112508142,-0.19046
112508143,112518142,-0.165389
112518143,112528142,-0.216839
112528143,112538142,-0.0830648
112538143,112548142,-0.282018
112548143,112558142,-0.206356
112558143,112568142,0.0750922
112568143,112578142,0.0560799
112578143,112588142,0.145259
112588143,112598142,0.348567
112598143,112608142,0.30848
112608143,112618142,0.133424
112618143,112628142,0.313671
112628143,112638142,0.228699
112638143,112648142,-0.0897841
112648143,112658142,-0.363189
112658143,112668142,-0.156837
112668143,112678142,0.0516933
112678143,112688142,0.21504
112688143,112698142,-0.747915
112698143,112708142,-0.78626
112708143,112718142,0.165212
112718143,112728142,0.346938
112728143,112738142,0.0603385
112738143,112748142,-0.246769
112748143,112758142,-0.421493
112758143,112768142,-0.192024
112768143,112778142,0.2864
112778143,112788142,0.255525
112788143,112798142,0.147404
112798143,112808142,0.184961
112808143,112818142,0.135618
112818143,112828142,0.287263
112828143,112838142,-0.245945
112838143,112848142,0.1955
112848143,112858142,0.349963
112858143,112868142,0.219227
112868143,112878142,0.461327
112878143,112888142,0.212531
112888143,112898142,0.0855166
112898143,112908142,0.0988889
